                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     86,                 2.0432,                0.83576,                0.84336,                0.75761,                0.61635,                0.73532,                0.32582,                  1.896,                0.75244,                0.63996,               0.000317,               0.000317,               0.000317
                     87,                 2.0141,                0.86646,                0.82921,                0.74501,                0.65846,                0.73241,                0.32557,                 1.8564,                0.72871,                0.64841,              0.0002972,              0.0002972,              0.0002972
                     88,                 2.0067,                0.86031,                0.84082,                0.77502,                0.64789,                 0.7587,                0.33285,                 1.7558,                 0.7507,                0.67698,              0.0002774,              0.0002774,              0.0002774
                     89,                 2.0957,                0.84577,                 0.8427,                 0.7396,                0.64011,                0.73273,                0.31596,                   1.78,                0.73186,                0.66499,              0.0002576,              0.0002576,              0.0002576
                     90,                   1.94,                0.82656,                0.85079,                0.74754,                0.61972,                0.72342,                 0.3112,                 1.8698,                0.70259,                0.64609,              0.0002378,              0.0002378,              0.0002378
                     91,                 1.9716,                0.82953,                0.83656,                0.79111,                0.64014,                0.76046,                 0.3064,                 1.9278,                0.70263,                0.63563,               0.000218,               0.000218,               0.000218
                     92,                 1.9923,                0.80526,                  0.842,                 0.8165,                0.56406,                0.78025,                0.34543,                 1.8297,                0.69662,                0.65327,              0.0001982,              0.0001982,              0.0001982
                     93,                 1.9201,                0.80486,                0.82158,                0.75338,                 0.6024,                0.74227,                0.32869,                 1.8589,                0.72302,                0.64179,              0.0001784,              0.0001784,              0.0001784
                     94,                 1.9261,                0.80672,                0.83215,                0.73451,                 0.6338,                0.72157,                0.32277,                 1.8524,                0.71516,                0.64529,              0.0001586,              0.0001586,              0.0001586
                     95,                 1.9041,                0.77364,                0.83983,                 0.7146,                 0.6338,                0.72016,                 0.3202,                  1.871,                0.69849,                0.62939,              0.0001388,              0.0001388,              0.0001388
                     96,                 1.9269,                0.79068,                0.83281,                0.82419,                0.67606,                0.80912,                0.34556,                 1.8572,                 0.6912,                0.63684,               0.000119,               0.000119,               0.000119
                     97,                 1.8795,                 0.7547,                0.82725,                0.79356,                0.64973,                0.75401,                0.34037,                 1.8269,                0.68322,                0.64556,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                 1.9416,                0.78018,                0.82004,                0.75291,                 0.6438,                0.74738,                0.33379,                 1.8254,                0.68592,                0.64697,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                 1.9021,                0.78117,                0.83694,                0.75565,                0.65339,                0.72537,                0.32491,                 1.8812,                0.74233,                0.63035,               5.96e-05,               5.96e-05,               5.96e-05
